item_number,name,description,brand,unit,cost_price,list_price,sale_price,product_status,barcode,metadata_json
000-1,超商運費,超商運費,Unknown,件,75,75,0,active,,"{'category': '運費', 'safety_stock': 0, 'stock_qty': -1554, 'supplier': ''}"
007,Muc-Off 防咬死銅膏 450g,Muc-Off 防咬死銅膏 450g,Unknown,瓶,0,0,0,active,5037835007008,"{'category': 'Muc-Off', 'safety_stock': 1, 'stock_qty': 1, 'supplier': ''}"
08-0743,Motion Pro 重型離合器夾持工具,Motion Pro 重型離合器夾持工具,Unknown,個,6089,0,0,active,08-0743,"{'category': 'Motion Pro', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
1-11379A,Snap-on EEWH310B拆胎機零件 接頭,Snap-on EEWH310B拆胎機零件 接頭,Unknown,件,0,0,0,active,1-11379A,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 5, 'supplier': ''}"
1-13579A,"Snap-on EEWH310B拆胎機零件 Y FITTING 4X6 1/8""","Snap-on EEWH310B拆胎機零件 Y FITTING 4X6 1/8""",Unknown,個,0,1713,0,active,,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 15, 'supplier': ''}"
10-15780,抽屜裝飾,抽屜裝飾,Unknown,個,0,0,0,active,,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
10-385B,Snap-on 零件 工具車 卡扣 10-385B,Snap-on 零件 工具車 卡扣 10-385B,Unknown,個,130,280,0,active,10-385B,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 18, 'supplier': ''}"
10-885B,Snap-on 零件 工具車 卡扣 10-885B,Snap-on 零件 工具車 卡扣 10-885B,Unknown,個,96,250,0,active,10-885B,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
10002MRMH,CDI 三分 150-1000 in-lb 扭力扳手,CDI 三分 150-1000 in-lb 扭力扳手,Unknown,支,0,14750,0,active,10002MRMH,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 4, 'supplier': ''}"
10002MRMHW,CDI 三分 150-1000 in-lb 扭力扳手,CDI 三分 150-1000 in-lb 扭力扳手,Unknown,支,0,0,0,active,10002MRMHW,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
10005MFRMH,CDI 1吋 200-1000 ft-lb 扭力扳手,CDI 1吋 200-1000 ft-lb 扭力扳手,Unknown,支,0,106150,0,active,10005MFRMH,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1002MFRMH,CDI 三分 10-100 ft-lb 扭力扳手,CDI 三分 10-100 ft-lb 扭力扳手,Unknown,支,0,14650,0,active,1002MFRMH,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
102LHCP,Snap-on 2pc 長尖嘴鉗套組,Snap-on 2pc 長尖嘴鉗套組,Unknown,套組,0,7200,0,active,102LHCP,"{'category': 'Snap-on 鉗子系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
103UFTS,Snap-on 3件式 萬向套筒組,Snap-on 3件式 萬向套筒組,Unknown,套組,0,9600,0,active,103UFTS,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
10597,Snap-on零件 10597,Snap-on零件 10597,Unknown,件,0,293,0,active,10597,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106ATMXWP,"Snap-on 6件式 1/4"" 延長接桿組 (1-1/4-11"")","Snap-on 6件式 1/4"" 延長接桿組 (1-1/4-11"")",Unknown,套組,0,7150,6195,active,106ATMXWP,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106BTMX,"Snap-on 6件式 1/4"" 接桿套組","Snap-on 6件式 1/4"" 接桿套組",Unknown,套組,0,7150,5145,active,106BTMX,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106ETMAMY,Snap-on 6件式 二分 內六角套組 (2-6 mm),Snap-on 6件式 二分 內六角套組 (2-6 mm),Unknown,套組,0,7000,0,active,106ETMAMY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106RTLE,"Snap-on 6件1/4""驅動低位倒置TORX®套筒組(E4-E10)","Snap-on 6件1/4""驅動低位倒置TORX®套筒組(E4-E10)",Unknown,套組,0,4900,0,active,,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106TMUA,Snap-on 6件式 12角 SAE 萬向短套筒組,Snap-on 6件式 12角 SAE 萬向短套筒組,Unknown,套組,0,14590,0,active,106TMUA,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106TTX,"Snap-on 6 件 1/4"" TORX® 標準旋具套筒組","Snap-on 6 件 1/4"" TORX® 標準旋具套筒組",Unknown,套組,0,9450,0,active,106TTX,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106TTXRTP,Snap-on 6件式 二分 中空星型套組 (8IP-25IP),Snap-on 6件式 二分 中空星型套組 (8IP-25IP),Unknown,套組,0,9350,0,active,106TTXRTP,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
107ATMPB,"Snap-on 7件式 1/4"" 二分 可延伸扳手套組","Snap-on 7件式 1/4"" 二分 可延伸扳手套組",Unknown,套組,9310,14110,0,active,107ATMPB,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 8, 'supplier': ''}"
10940,Snap-on零件 10940,Snap-on零件 10940,Unknown,件,0,411,0,active,10940,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
10R,"Snap-on 10"" 切割圓形銼刀","Snap-on 10"" 切割圓形銼刀",Unknown,支,422,900,0,active,10R,"{'category': 'Snap-on 錐子系列', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
110ETMAY,"Snap-on 10件式 二分 6角鑽頭套組 (1/16-1/4"")","Snap-on 10件式 二分 6角鑽頭套組 (1/16-1/4"")",Unknown,套組,0,10665,0,active,110ETMAY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
110STMDY,"Snap-on 10件式 二分 12角 長套筒組 (3/16–9/16"")","Snap-on 10件式 二分 12角 長套筒組 (3/16–9/16"")",Unknown,套組,0,11520,0,active,110STMDY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
110STMY,"Snap-on 10件 1/4"" 6角 SAE Flank Drive® 長套筒","Snap-on 10件 1/4"" 6角 SAE Flank Drive® 長套筒",Unknown,套組,0,0,0,active,110STMY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
110TMDSY,"Snap-on 10件式 二分 12角 中長套筒組 (3/16–9/16"")","Snap-on 10件式 二分 12角 中長套筒組 (3/16–9/16"")",Unknown,套組,0,10025,0,active,110TMDSY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
110TMDY,"Snap-on 10件式 二分 12角 短套筒組 (3/16–9/16"")","Snap-on 10件式 二分 12角 短套筒組 (3/16–9/16"")",Unknown,套組,0,7255,0,active,110TMDY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
110TMSY,"Snap-on 10件式 1/4""驅動 6角英制中長套筒組 3/16–9/16""","Snap-on 10件式 1/4""驅動 6角英制中長套筒組 3/16–9/16""",Unknown,套組,0,11000,0,active,110TMSY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
11125,"Norbar 3/8"" 三分 可調式機械扭力扳手 4 - 20 N·m","Norbar 3/8"" 三分 可調式機械扭力扳手 4 - 20 N·m",Unknown,支,0,0,0,active,11125,"{'category': '其他品牌工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
111M-14T,BAHCO 開口梅花扳手14件套組,BAHCO 開口梅花扳手14件套組,Unknown,件,1859,4883,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
111TMMDY,Snap-on 11件式 二分 12角 套筒組 (5-14mm),Snap-on 11件式 二分 12角 套筒組 (5-14mm),Unknown,套組,5093,7720,0,active,111TMMDY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
112,Muc-Off UV紫外線手電筒,Muc-Off UV紫外線手電筒,Unknown,支,156,399,339,active,5037835112009,"{'category': 'Muc-Off停產產品', 'safety_stock': 1, 'stock_qty': 0, 'supplier': ''}"
112RTA,"Snap-on 12件式 二分 薄型棘輪套筒組 (3/16-9/16"")","Snap-on 12件式 二分 薄型棘輪套筒組 (3/16-9/16"")",Unknown,套組,0,12160,0,active,112RTA,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
112RTMA,"Snap-on 12件式 1/4""驅動 12角公制 薄型棘輪扳手／套筒組","Snap-on 12件式 1/4""驅動 12角公制 薄型棘輪扳手／套筒組",Unknown,套組,0,11800,0,active,112RTMA,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
112STMMY,Snap-on 12件式 二分 6角 長套筒組 (5-15mm),Snap-on 12件式 二分 6角 長套筒組 (5-15mm),Unknown,套組,0,14800,0,active,112STMMY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 5, 'supplier': ''}"
