vendor_code,vendor_name,phone,fax,contact_name,contact_title,mobile,address,tax_id
000001,實耐寶,02-22989789,02-22982288,林克漢,產品專員,09111507573,242新北市新莊區五權一路9號3樓之4,27258354
000002,Muc-Off,,,,,,,
000003,KOWA,,,,,,,
000004,其他,,,,,,,
000005,智良實業有限公司,02-29655888,,賴禹丞,,,220新北市板橋區大觀路二段163巷3號,66427786
000006,鈊澳創企業社,,,,,,,
000007,恆秝興業有限公司,03-3388776,,,,,330桃園市桃園區中山路658巷3弄13號,
000008,福春企業社,08-7629329,,,,,908屏東縣長治鄉榮華村信義四巷21號,62926712
000009,興倫精機有限公司,,,,,,406台中市北屯區仁美里長生巷46-8號,24587641
000010,赫允企業社,,,,,,,91732291
000011,羅伯特博世,02-77342166,,,,,104台北市中山區建國北路一段90號6樓,80272572
000012,鍑森興業,02-26080681,,,,,244新北市林口區八德路20巷8號,25116014
000013,和鑫五金,07-3707565,,吳嘉軒,,0911921127,833高雄市鳥松區本館路435號,
