item_number,description,tw_retail_price,tw_reseller_price,product_status,category,replacement_model,weight_kg,origin_country,search_text
000-1,超商運費,75,0,Current,運費,,0,,000-1 超商運費 運費
007,Muc-Off 防咬死銅膏 450g,0,0,Current,Muc-Off,,0,,007 Muc-Off 防咬死銅膏 450g Muc-Off
08-0743,Motion Pro 重型離合器夾持工具,0,0,Current,Motion Pro,,0,,08-0743 Motion Pro 重型離合器夾持工具 Motion Pro
1-11379A,Snap-on EEWH310B拆胎機零件 接頭,0,0,Current,Snap-on 零件,,0,,1-11379A Snap-on EEWH310B拆胎機零件 接頭 Snap-on 零件
1-13579A,"Snap-on EEWH310B拆胎機零件 Y FITTING 4X6 1/8""",1713,0,Current,Snap-on 零件,,0,,"1-13579A Snap-on EEWH310B拆胎機零件 Y FITTING 4X6 1/8"" Snap-on 零件"
10-15780,抽屜裝飾,0,0,Current,Snap-on 周邊,,0,,10-15780 抽屜裝飾 Snap-on 周邊
10-385B,Snap-on 零件 工具車 卡扣 10-385B,280,0,Current,Snap-on 零件,,0,,10-385B Snap-on 零件 工具車 卡扣 10-385B Snap-on 零件
10-885B,Snap-on 零件 工具車 卡扣 10-885B,250,0,Current,Snap-on 零件,,0,,10-885B Snap-on 零件 工具車 卡扣 10-885B Snap-on 零件
10002MRMH,CDI 三分 150-1000 in-lb 扭力扳手,14750,0,Current,CDI 扭力扳手系列,,0,,10002MRMH CDI 三分 150-1000 in-lb 扭力扳手 CDI 扭力扳手系列
10002MRMHW,CDI 三分 150-1000 in-lb 扭力扳手,0,0,Current,CDI 扭力扳手系列,,0,,10002MRMHW CDI 三分 150-1000 in-lb 扭力扳手 CDI 扭力扳手系列
10005MFRMH,CDI 1吋 200-1000 ft-lb 扭力扳手,106150,0,Current,CDI 扭力扳手系列,,0,,10005MFRMH CDI 1吋 200-1000 ft-lb 扭力扳手 CDI 扭力扳手系列
1002MFRMH,CDI 三分 10-100 ft-lb 扭力扳手,14650,0,Current,CDI 扭力扳手系列,,0,,1002MFRMH CDI 三分 10-100 ft-lb 扭力扳手 CDI 扭力扳手系列
102LHCP,Snap-on 2pc 長尖嘴鉗套組,7200,0,Current,Snap-on 鉗子系列,,0,,102LHCP Snap-on 2pc 長尖嘴鉗套組 Snap-on 鉗子系列
103UFTS,Snap-on 3件式 萬向套筒組,9600,0,Current,Snap-on 套筒系列,,0,,103UFTS Snap-on 3件式 萬向套筒組 Snap-on 套筒系列
10597,Snap-on零件 10597,293,0,Current,Snap-on 零件,,0,,10597 Snap-on零件 10597 Snap-on 零件
106ATMXWP,"Snap-on 6件式 1/4"" 延長接桿組 (1-1/4-11"")",7150,6195,Current,Snap-on 其他工具,,0,,"106ATMXWP Snap-on 6件式 1/4"" 延長接桿組 (1-1/4-11"") Snap-on 其他工具"
106BTMX,"Snap-on 6件式 1/4"" 接桿套組",7150,5145,Current,Snap-on 其他工具,,0,,"106BTMX Snap-on 6件式 1/4"" 接桿套組 Snap-on 其他工具"
106ETMAMY,Snap-on 6件式 二分 內六角套組 (2-6 mm),7000,0,Current,Snap-on 套筒系列,,0,,106ETMAMY Snap-on 6件式 二分 內六角套組 (2-6 mm) Snap-on 套筒系列
106RTLE,"Snap-on 6件1/4""驅動低位倒置TORX®套筒組(E4-E10)",4900,0,Current,Snap-on 套筒系列,,0,,"106RTLE Snap-on 6件1/4""驅動低位倒置TORX®套筒組(E4-E10) Snap-on 套筒系列"
106TMUA,Snap-on 6件式 12角 SAE 萬向短套筒組,14590,0,Current,Snap-on 套筒系列,,0,,106TMUA Snap-on 6件式 12角 SAE 萬向短套筒組 Snap-on 套筒系列
106TTX,"Snap-on 6 件 1/4"" TORX® 標準旋具套筒組",9450,0,Current,Snap-on 套筒系列,,0,,"106TTX Snap-on 6 件 1/4"" TORX® 標準旋具套筒組 Snap-on 套筒系列"
106TTXRTP,Snap-on 6件式 二分 中空星型套組 (8IP-25IP),9350,0,Current,Snap-on 套筒系列,,0,,106TTXRTP Snap-on 6件式 二分 中空星型套組 (8IP-25IP) Snap-on 套筒系列
107ATMPB,"Snap-on 7件式 1/4"" 二分 可延伸扳手套組",14110,0,Current,Snap-on 扳手系列,,0,,"107ATMPB Snap-on 7件式 1/4"" 二分 可延伸扳手套組 Snap-on 扳手系列"
10940,Snap-on零件 10940,411,0,Current,Snap-on 零件,,0,,10940 Snap-on零件 10940 Snap-on 零件
10R,"Snap-on 10"" 切割圓形銼刀",900,0,Current,Snap-on 錐子系列,,0,,"10R Snap-on 10"" 切割圓形銼刀 Snap-on 錐子系列"
